record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category,quartile
0,conf/vldb/LubbersGJ03,True,1,T3nGiiT3tbsJ,0.9716313650740304,0.0009466942618940594,0.9706846708121363,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
1,journals/sigmod/BerndtssonH96,True,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381889%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.5714594185383404,0.1521523667851048,0.41930705175323557,0.6000000000000002,False,missing_match,DBLP,44,True,correct,Q3
2,conf/sigmod/AdaliCPS96,True,9,uMmcsye0YCkJ,0.9241955031521062,0.9128928263426058,0.011302676809500367,0.6000000000000002,True,correct,DBLP,44,True,correct,Q1
3,conf/vldb/ChangG97,True,6,2SYiXa0vGN4J,0.9817132011162677,0.929812871029256,0.05190033008701167,0.6000000000000002,True,correct,DBLP,44,True,correct,Q1
4,conf/sigmod/PoosalaIHS96,True,9,hHGQKstQ2PQJ,0.9741177006125588,0.9629921245930074,0.011125576019551331,0.6000000000000002,True,correct,DBLP,44,True,correct,Q1
5,journals/tods/Ng01,True,1,npCKXD_vLM8J,0.9843340320162507,0.07609231175000811,0.9082417202662426,0.6000000000000002,True,correct,DBLP,44,True,correct,Q3
6,journals/vldb/LiR99,True,2,nu5nhxl6WXQJ,0.9793661078818113,0.7690183040426224,0.21034780383918894,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
7,conf/sigmod/Cabrera03,False,0,vtgbh3Fwu58J,0.09245240286174904,0.01690975574238425,0.07554264711936479,0.6000000000000002,False,unmatched_abstention,DBLP,44,False,unmatched_abstention,Q2
8,journals/tods/CiacciaP02,True,1,dArDZIV5VE4J,0.984333998863055,0.07850581011916546,0.9058281887438895,0.6000000000000002,True,correct,DBLP,44,True,correct,Q3
9,conf/sigmod/ZhouLP99,True,1,0OwKmPjQpd0J,0.9785262387158331,0.001064017026841432,0.9774622216889917,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
10,conf/vldb/YuAA03,True,1,4bvjebYsdRkJ,0.9863593627713964,0.0007520684241907607,0.9856072943472056,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
11,conf/vldb/GibsonKR98,True,1,9FBwT6XFOssJ,0.9769322937588504,0.00763468460129517,0.9692976091575553,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
12,conf/sigmod/FukudaMMT96,True,3,Bcuo4_yr2p0J,0.9741928882272967,0.9634012012859553,0.01079168694134136,0.6000000000000002,True,correct,DBLP,44,True,correct,Q1
13,conf/vldb/Kornacker99,True,1,aOmma8tnFKIJ,0.9907436008585191,0.0029447792738552915,0.9877988215846638,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
14,conf/vldb/Schnase00,True,1,OdaRU442nm0J,0.9700773970084801,0.2442356992280896,0.7258416977803904,0.6000000000000002,True,correct,DBLP,44,True,correct,Q3
15,journals/sigmod/Abiteboul99,True,2,J_7kZS39msAJ,0.9842307333710305,0.6402700183728859,0.3439607149981446,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
16,journals/sigmod/Aggarwal01,True,2,OE8gpNwz8MkJ,0.9801867047771601,0.8768257998712752,0.1033609049058849,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
17,journals/sigmod/Grefen02,False,0,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0019009418613973072,0.0016463836270387937,0.0002545582343585135,0.6000000000000002,False,unmatched_abstention,DBLP,44,False,unmatched_abstention,Q1
18,conf/vldb/DuttaDMRT00,True,1,q0Ovw6QUk3MJ,0.9284007074103543,0.18438740242950635,0.744013304980848,0.6000000000000002,True,correct,DBLP,44,True,correct,Q3
19,journals/tods/CuiWW00,True,2,yWDXpb_76z0J,0.9826372155509353,0.7495648350408479,0.23307238051008738,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
20,conf/sigmod/ColletC95,True,1,vP27NkXI4MEJ,0.9855039249281982,0.006304290436309378,0.9791996344918887,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
21,journals/vldb/AtzeniM00,True,1,wt2W1fPudfIJ,0.004245541461265723,0.001400204614767847,0.0028453368464978757,0.6000000000000002,False,missing_match,DBLP,44,False,missing_match,Q1
22,conf/sigmod/Dullmann99,True,1,5bp8rSFAkzEJ,0.6162913610272449,0.10551920497554955,0.5107721560516953,0.6000000000000002,True,correct,DBLP,44,True,correct,Q3
23,conf/vldb/ShethKMWDLPLS96,True,3,jWZkmgGziVoJ,0.9695940639414475,0.888475601475379,0.08111846246606857,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
24,journals/sigmod/SnodgrassHMOPRRWY98,False,0,uPBlQ76s_g4J,0.5789006930059389,0.571548074901447,0.007352618104491948,0.6000000000000002,False,unmatched_abstention,DBLP,44,False,unmatched_abstention,Q1
25,journals/sigmod/SegevJS95,True,1,2kiNfwTpqp4J,0.5608260105817435,0.00391065315034161,0.556915357431402,0.6000000000000002,False,missing_match,DBLP,44,True,correct,Q3
26,conf/sigmod/GarofalakisG02,True,2,6EaC2CmjsmAJ,0.9357391489440064,0.6752410326573414,0.2604981162866651,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
27,conf/sigmod/Ullman03,True,1,TabFkjNTLMsJ,0.9831443803181575,0.0011983393720394469,0.9819460409461181,0.6000000000000002,True,correct,DBLP,44,True,correct,Q4
28,conf/sigmod/AcharyaGPR99,True,5,s064OghlyIUJ,0.9850117016330854,0.9182544824094975,0.0667572192235879,0.6000000000000002,True,correct,DBLP,44,True,correct,Q2
29,conf/sigmod/Arpaci-DusseauACHP97,True,4,6_FvrRYnxHYJ,0.9740973105960913,0.9198162451046893,0.05428106549140199,0.6000000000000002,True,correct,DBLP,44,True,correct,Q1
