record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed
0,conf/vldb/LubbersGJ03,True,1,T3nGiiT3tbsJ,0.9733352527361798,0.007917815966997902,0.9654174367691819,0.5000000000000001,True,correct,DBLP,44
1,journals/sigmod/BerndtssonH96,True,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D381889%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.5620126146948163,0.1456079379757247,0.41640467671909165,0.5000000000000001,True,correct,DBLP,44
2,conf/sigmod/AdaliCPS96,True,9,uMmcsye0YCkJ,0.9319277085320676,0.9214675727925102,0.010460135739557397,0.5000000000000001,True,correct,DBLP,44
3,conf/vldb/ChangG97,True,6,2SYiXa0vGN4J,0.9830355775765249,0.9339460677514868,0.049089509825038125,0.5000000000000001,True,correct,DBLP,44
4,conf/sigmod/PoosalaIHS96,True,9,hHGQKstQ2PQJ,0.9769433974590491,0.9677004504617337,0.009242946997315427,0.5000000000000001,True,correct,DBLP,44
5,journals/tods/Ng01,True,1,npCKXD_vLM8J,0.9856901760442566,0.06886135151029753,0.9168288245339591,0.5000000000000001,True,correct,DBLP,44
6,journals/vldb/LiR99,True,2,nu5nhxl6WXQJ,0.9809258554280313,0.784503868106861,0.19642198732117033,0.5000000000000001,True,correct,DBLP,44
7,conf/sigmod/Cabrera03,False,0,vtgbh3Fwu58J,0.08185717141012809,0.014782163879870854,0.06707500753025723,0.5000000000000001,False,unmatched_abstention,DBLP,44
8,journals/tods/CiacciaP02,True,1,dArDZIV5VE4J,0.9856901446138107,0.06842402257816127,0.9172661220356494,0.5000000000000001,True,correct,DBLP,44
9,conf/sigmod/ZhouLP99,True,1,0OwKmPjQpd0J,0.980981276194278,0.0008344114836134793,0.9801468647106645,0.5000000000000001,True,correct,DBLP,44
10,conf/vldb/YuAA03,True,1,4bvjebYsdRkJ,0.9880418552300734,0.0005922287555598947,0.9874496264745135,0.5000000000000001,True,correct,DBLP,44
11,conf/vldb/GibsonKR98,True,1,9FBwT6XFOssJ,0.9794209258254438,0.006649302642377131,0.9727716231830666,0.5000000000000001,True,correct,DBLP,44
12,conf/sigmod/FukudaMMT96,True,3,Bcuo4_yr2p0J,0.9760593708300347,0.9648347452427726,0.011224625587262116,0.5000000000000001,True,correct,DBLP,44
13,conf/vldb/Kornacker99,True,1,aOmma8tnFKIJ,0.9919785274416343,0.01280290747145469,0.9791756199701795,0.5000000000000001,True,correct,DBLP,44
14,conf/vldb/Schnase00,True,1,OdaRU442nm0J,0.9718294090881134,0.24181802686466164,0.7300113822234517,0.5000000000000001,True,correct,DBLP,44
15,journals/sigmod/Abiteboul99,True,2,J_7kZS39msAJ,0.9860684465976577,0.6460408254617791,0.3400276211358786,0.5000000000000001,True,correct,DBLP,44
16,journals/sigmod/Aggarwal01,True,2,OE8gpNwz8MkJ,0.9824745941821321,0.8857893077918232,0.09668528639030893,0.5000000000000001,True,correct,DBLP,44
17,journals/sigmod/Grefen02,False,0,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.0014180051284110853,0.00133832894019278,7.96761882183054e-05,0.5000000000000001,False,unmatched_abstention,DBLP,44
18,conf/vldb/DuttaDMRT00,True,1,q0Ovw6QUk3MJ,0.9307711504475724,0.1707043417401408,0.7600668087074316,0.5000000000000001,True,correct,DBLP,44
19,journals/tods/CuiWW00,True,2,yWDXpb_76z0J,0.9840916392855886,0.7556082459308567,0.2284833933547319,0.5000000000000001,True,correct,DBLP,44
20,conf/sigmod/ColletC95,True,1,vP27NkXI4MEJ,0.986861278146859,0.005273066421960303,0.9815882117248986,0.5000000000000001,True,correct,DBLP,44
21,journals/vldb/AtzeniM00,True,1,wt2W1fPudfIJ,0.0035745058702133055,0.0024012076896505747,0.0011732981805627307,0.5000000000000001,False,missing_match,DBLP,44
22,conf/sigmod/Dullmann99,True,1,5bp8rSFAkzEJ,0.6379798272674136,0.10462480910713835,0.5333550181602753,0.5000000000000001,True,correct,DBLP,44
23,conf/vldb/ShethKMWDLPLS96,True,3,jWZkmgGziVoJ,0.9713493284479215,0.8966657732308714,0.07468355521705017,0.5000000000000001,True,correct,DBLP,44
24,journals/sigmod/SnodgrassHMOPRRWY98,False,0,uPBlQ76s_g4J,0.5706650300942907,0.5621213394157815,0.008543690678509241,0.5000000000000001,True,false_link,DBLP,44
25,journals/sigmod/SegevJS95,True,1,2kiNfwTpqp4J,0.5510430573977574,0.003654393601313861,0.5473886637964436,0.5000000000000001,True,correct,DBLP,44
26,conf/sigmod/GarofalakisG02,True,2,6EaC2CmjsmAJ,0.9414692576387759,0.6894437857330237,0.2520254719057522,0.5000000000000001,True,correct,DBLP,44
27,conf/sigmod/Ullman03,True,1,TabFkjNTLMsJ,0.9851817777035151,0.0008812297507655132,0.9843005479527496,0.5000000000000001,True,correct,DBLP,44
28,conf/sigmod/AcharyaGPR99,True,5,s064OghlyIUJ,0.9864167128333133,0.9252862073027267,0.06113050553058663,0.5000000000000001,True,correct,DBLP,44
29,conf/sigmod/Arpaci-DusseauACHP97,True,4,6_FvrRYnxHYJ,0.9769246661461342,0.9269900792979295,0.04993458684820462,0.5000000000000001,True,correct,DBLP,44
30,journals/sigmod/Qian96b,True,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D245909%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.9915871311376369,0.023090661047573548,0.9684964700900633,0.5000000000000001,True,correct,DBLP,44
31,conf/vldb/SteinbrunnPMK95,True,2,EPtaqugcCyMJ,0.9615152718427143,0.6520770623342255,0.3094382095084889,0.5000000000000001,True,correct,DBLP,44
32,journals/sigmod/Qian96,True,1,NiswbODuzhAJ,0.9923360842657857,0.0009885135109719452,0.9913475707548137,0.5000000000000001,True,correct,DBLP,44
33,conf/sigmod/CranorJSS03,True,4,nHesT9ADTdEJ,0.9806268453065201,0.9690296704211808,0.01159717488533929,0.5000000000000001,True,correct,DBLP,44
34,journals/sigmod/CareyS99,True,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D310071%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.45545565571679786,0.0012386812156748805,0.45421697450112297,0.5000000000000001,False,missing_match,DBLP,44
35,conf/sigmod/RadekeBBEKKN95,True,2,bDN03rZhUQEJ,0.9788289847611743,0.5743502790422838,0.40447870571889055,0.5000000000000001,True,correct,DBLP,44
36,conf/vldb/ChakrabartiRS02,True,1,idfox84uNHUJ,0.9771814631458235,0.0007552965044201277,0.9764261666414035,0.5000000000000001,True,correct,DBLP,44
37,journals/sigmod/Widom94,True,1,lAbG3uFZvVUJ,0.992336078288398,0.010913185356648996,0.981422892931749,0.5000000000000001,True,correct,DBLP,44
38,journals/sigmod/DogacAOD95,True,1,oUOuTMrB0esJ,0.992336104548661,0.1079779688676802,0.8843581356809808,0.5000000000000001,True,correct,DBLP,44
39,journals/sigmod/Vassilakis00,True,2,nZO8ZA4eYzYJ,0.992336088862018,0.7068182563486078,0.2855178325134101,0.5000000000000001,True,correct,DBLP,44
40,conf/vldb/NipplM98,True,2,C5jVmNqIE4IJ,0.9828032961768155,0.715021928520936,0.26778136765587945,0.5000000000000001,True,correct,DBLP,44
41,journals/sigmod/Wedekind94,True,1,gqehj3-ukjIJ,0.7774091149582935,0.0003530779699754868,0.7770560369883179,0.5000000000000001,True,correct,DBLP,44
42,conf/vldb/SahuguetA99,True,5,pK5bydjeZFIJ,0.9919785473952147,0.9645842074178149,0.027394339977399818,0.5000000000000001,True,correct,DBLP,44
43,journals/sigmod/Ahlberg96,True,1,4bBje8qkHVgJ,0.9923360800170712,0.00521539019628048,0.9871206898207907,0.5000000000000001,True,correct,DBLP,44
44,conf/sigmod/SwamiS94,True,1,S6TmnZKgmxwJ,0.955496722356906,0.0016386830375383135,0.9538580393193676,0.5000000000000001,True,correct,DBLP,44
45,journals/sigmod/VelACM01,True,1,LseDURw3BXMJ,0.8118369023484847,0.00020794076321746093,0.8116289615852672,0.5000000000000001,True,correct,DBLP,44
46,conf/sigmod/ChaudhuriGS03,True,1,OFGtGwUHhUQJ,0.992417569925294,0.002442509854102286,0.9899750600711916,0.5000000000000001,True,correct,DBLP,44
47,journals/sigmod/DoanPSB97,True,2,fdM1W8iEk_YJ,0.9912653620547298,0.2780657507330842,0.7131996113216457,0.5000000000000001,True,correct,DBLP,44
48,journals/vldb/NanopoulosM02,True,1,icoWjIZ_6IIJ,0.9848294574507903,0.0054268719631595215,0.9794025854876308,0.5000000000000001,True,correct,DBLP,44
49,conf/sigmod/BohmA96,True,1,978pJCGhaGoJ,0.9531936555096143,0.012442857077580596,0.9407507984320337,0.5000000000000001,True,correct,DBLP,44
50,journals/sigmod/Loeffen94,True,3,gb-yIDOxaEkJ,0.992336078288398,0.8508785915615247,0.1414574867268733,0.5000000000000001,True,correct,DBLP,44
51,journals/sigmod/KappelR98,True,2,tbZ0J3HLI18J,0.992336078288398,0.9682015255531116,0.02413455273528642,0.5000000000000001,True,correct,DBLP,44
52,journals/sigmod/Liu01a,False,0,url:http://doi.wiley.com/10.1002/tl.7700,0.5139304707031264,0.4449910270082345,0.06893944369489186,0.5000000000000001,True,false_link,DBLP,44
53,journals/sigmod/SofferMC02,False,0,tyZxVraNgTsJ,0.0015488218469287048,0.000853733693099782,0.0006950881538289229,0.5000000000000001,False,unmatched_abstention,DBLP,44
54,conf/sigmod/SinghTW94,True,1,uAQ-tJ0j4nkJ,0.9504856091860291,0.007435815109010836,0.9430497940770183,0.5000000000000001,True,correct,DBLP,44
55,journals/sigmod/EisenbergM98,True,2,-RAYAJbKLNUJ,0.9912653562336246,0.705718910522175,0.2855464457114496,0.5000000000000001,True,correct,DBLP,44
56,journals/sigmod/Qian94a,False,0,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D212022%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.2305692880738223,0.001504369527249806,0.2290649185465725,0.5000000000000001,False,unmatched_abstention,DBLP,44
57,conf/vldb/StanoiRAA01,True,1,SBpUQ0L7KUgJ,0.9790068967019747,0.0010675171632207896,0.9779393795387539,0.5000000000000001,True,correct,DBLP,44
58,journals/sigmod/BonnetBDL03,True,1,aovCRhocZUcJ,0.9906778862147985,0.07574926439391425,0.9149286218208842,0.5000000000000001,True,correct,DBLP,44
59,conf/vldb/Adler01,True,1,Tnuonq9Zi4cJ,0.931372380224184,0.0009520486940548415,0.9304203315301292,0.5000000000000001,True,correct,DBLP,44
60,conf/vldb/Bar-YossefBCFW00,True,1,-gm97JzyHJsJ,0.9908711484211223,0.0007767294355996692,0.9900944189855226,0.5000000000000001,True,correct,DBLP,44
61,journals/sigmod/ONeilG95,True,5,ZF4UVaOvyTIJ,0.9752958793393809,0.9725550952101909,0.002740784129189988,0.5000000000000001,True,correct,DBLP,44
62,journals/sigmod/ShethBS99,True,3,cqlnSEkt12EJ,0.8958726001936866,0.8544628119208616,0.04140978827282504,0.5000000000000001,True,correct,DBLP,44
63,conf/vldb/XinHLW03,True,1,v0rD-1nzJmYJ,0.9824059501127321,0.005367464819647481,0.9770384852930847,0.5000000000000001,True,correct,DBLP,44
64,journals/sigmod/ShinM94,True,1,hnpTcGMYR80J,0.987140039813992,0.0587113578092778,0.9284286820047142,0.5000000000000001,True,correct,DBLP,44
65,journals/sigmod/GobleR02a,True,2,B-u4advaVBkJ,0.982743196383751,0.9430371987042658,0.03970599767948513,0.5000000000000001,True,correct,DBLP,44
66,conf/sigmod/ImielinskiV95,True,1,dKMRgoNRQDgJ,0.9651245946181057,0.0016293184822252708,0.9634952761358805,0.5000000000000001,True,correct,DBLP,44
67,journals/sigmod/BohmR94,True,2,GXApzwcGl78J,0.9858064579220203,0.2956445774348004,0.6901618804872198,0.5000000000000001,True,correct,DBLP,44
68,journals/sigmod/KeetonPH98,True,3,6MtRlhEClPEJ,0.9913185537388213,0.9830092078158831,0.008309345922938194,0.5000000000000001,True,correct,DBLP,44
69,journals/sigmod/GottlobKP03a,True,1,rDRdlwdHGb0J,0.5352195495855838,0.0025013774117989074,0.5327181721737849,0.5000000000000001,True,correct,DBLP,44
70,journals/sigmod/CruzKLSWY02,True,1,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.986794699629772,0.05717056907540262,0.9296241305543693,0.5000000000000001,True,correct,DBLP,44
71,conf/vldb/DeckerK03,True,1,es2kSNccUGMJ,0.5412148893851443,0.015250419034442598,0.5259644703507017,0.5000000000000001,True,correct,DBLP,44
72,journals/sigmod/Naughton00,False,0,qU_IX5KFwIoJ,0.019475514460634055,0.0020937735598220526,0.017381740900812,0.5000000000000001,False,unmatched_abstention,DBLP,44
73,conf/sigmod/ZhangZPTL03,True,1,S3lELcdpzTkJ,0.9627500145095008,0.1598423366986306,0.8029076778108702,0.5000000000000001,True,correct,DBLP,44
74,conf/sigmod/UrhanFA98,True,1,ufjnZovcIb4J,0.9571506155907548,0.004945532960239868,0.9522050826305148,0.5000000000000001,True,correct,DBLP,44
75,conf/vldb/GohOST99,True,1,hK5EOo-Z7JMJ,0.9756915669959625,0.00018628108782790126,0.9755052859081346,0.5000000000000001,True,correct,DBLP,44
76,conf/vldb/KoudasS03,True,2,F0VufxHFRP8J,0.49449313199767947,0.29286761373373815,0.20162551826394132,0.5000000000000001,False,missing_match,DBLP,44
77,conf/vldb/GotoK02,True,1,2Pc6rKYB8ykJ,0.9919785356400752,0.07575401037359528,0.9162245252664799,0.5000000000000001,True,correct,DBLP,44
78,journals/sigmod/Aberer03a,True,2,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D641004%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,0.6304152316265093,0.6285744109191249,0.0018408207073843386,0.5000000000000001,True,correct,DBLP,44
79,journals/tods/KossmannFDA00,True,1,8tDPAHGDRggJ,0.9846474522837158,0.001341852531666227,0.9833055997520496,0.5000000000000001,True,correct,DBLP,44
80,conf/sigmod/BrinMS97,True,9,-tbXaORoThUJ,0.975333900521137,0.9612073608304798,0.014126539690657247,0.5000000000000001,True,correct,DBLP,44
81,journals/sigmod/HaritsaS96,True,1,2w2qkhr3k3kJ,0.4238318738191188,0.34801072792217547,0.07582114589694333,0.5000000000000001,False,missing_match,DBLP,44
82,conf/vldb/AggarwalY02,True,1,W9wJnFy0TDAJ,0.9808460380873386,0.00532362287220248,0.9755224152151362,0.5000000000000001,True,correct,DBLP,44
83,conf/vldb/LohmanL02,True,1,jC-TppzLPuEJ,0.9860659829537498,0.010714894213232073,0.9753510887405177,0.5000000000000001,True,correct,DBLP,44
84,journals/sigmod/HuangKL02,True,2,yyUMt1X2WXcJ,0.9874409031203408,0.5825341105010721,0.40490679261926876,0.5000000000000001,True,correct,DBLP,44
85,journals/sigmod/BilirisP96,True,1,fu9j50Kk4Y4J,0.992336077892713,0.003696788851147578,0.9886392890415655,0.5000000000000001,True,correct,DBLP,44
86,conf/sigmod/HullZ96,True,2,H1E3GuQcoUAJ,0.9924175674318417,0.5251698453119245,0.4672477221199173,0.5000000000000001,True,correct,DBLP,44
87,journals/vldb/Ozsu03,True,1,url:http://www.springerlink.com/index/3G9E0YCGLRQFPN89.pdf,0.8758964956107659,0.0017645193540882385,0.8741319762566776,0.5000000000000001,True,correct,DBLP,44
88,conf/sigmod/Epstein95,False,0,m42J4EvvK_wJ,0.42504950411040354,0.4110285724965909,0.014020931613812626,0.5000000000000001,False,unmatched_abstention,DBLP,44
89,conf/vldb/AnSVKIG01,True,3,HosSI1GtRY8J,0.9699511072155624,0.18167976716556347,0.788271340049999,0.5000000000000001,True,correct,DBLP,44
