abstained_unmatched,classifier,column,correct,dataset,declared,false_links,fit_and_eval_seconds,lambda,missing_matches,n_fit_pairs,n_train_negative_pairs,n_train_pairs,n_train_positive_pairs,n_true_records,n_unmatched_records,n_validation_pairs,negative_to_positive_ratio,protocol_source,psi,seed,seed_role,side,sklearn_version,threshold,threshold_grid_extreme,threshold_grid_high,threshold_grid_low,validation_f1,warnings,xgboost_version
81,LR,forced-1:1,1098,DBLP,1131,33,0.16333436965942383,0.029177718832891247,96,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.07933884297520662,42,primary,string,1.9.0,0.5000000000000001,False,False,False,0.9,[],3.3.0
91,LR,forced-1:1,1082,DBLP,1116,34,0.16206598281860352,0.03046594982078853,101,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.08444816053511706,43,primary,string,1.9.0,0.5000000000000001,False,False,False,0.9205702647657841,[],3.3.0
75,LR,forced-1:1,1110,DBLP,1152,42,0.1597909927368164,0.036458333333333336,81,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.06666666666666667,44,primary,string,1.9.0,0.45000000000000007,False,False,False,0.8981288981288982,[],3.3.0
83,LR,forced-1:1,1048,DBLP,1075,27,0.16205430030822754,0.025116279069767444,150,1915,1197,2394,1197,1211,97,479,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.12386457473162675,45,diagnostic,string,1.9.0,0.6500000000000001,False,False,False,0.9150326797385621,[],3.3.0
102,LR,forced-1:1,1042,DBLP,1063,21,0.16297578811645508,0.01975540921919097,143,1947,1217,2434,1217,1191,117,487,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.1200671704450042,46,diagnostic,string,1.9.0,0.6000000000000002,False,False,False,0.918918918918919,[],3.3.0
77,LR,forced-1:1,1082,DBLP,1111,29,0.15891027450561523,0.026102610261026102,120,1902,1189,2378,1189,1219,89,476,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.09844134536505332,47,diagnostic,string,1.9.0,0.5000000000000001,False,False,False,0.8935281837160751,[],3.3.0
81,LR,forced-1:1,1086,DBLP,1122,36,0.16004681587219238,0.03208556149732621,105,1920,1200,2400,1200,1208,100,480,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.0869205298013245,48,diagnostic,string,1.9.0,0.45000000000000007,False,False,False,0.923728813559322,[],3.3.0
77,LR,forced-1:1,1099,DBLP,1135,36,0.1596992015838623,0.03171806167400881,96,1905,1191,2382,1191,1217,91,477,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.07888249794576828,49,diagnostic,string,1.9.0,0.5000000000000001,False,False,False,0.9140461215932913,[],3.3.0
75,LR,forced-1:1,1123,DBLP,1165,42,0.16684913635253906,0.036051502145922745,68,1921,1201,2402,1201,1207,101,481,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.056338028169014086,50,diagnostic,string,1.9.0,0.3500000000000001,False,False,False,0.9087301587301587,[],3.3.0
104,LR,forced-1:1,1010,DBLP,1029,19,0.16040635108947754,0.0184645286686103,175,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/er_paper/scripts/analysis16_clean_2x2.py,0.14632107023411373,51,diagnostic,string,1.9.0,0.6500000000000001,False,False,False,0.9322033898305084,[],3.3.0
