table,key,actual,expected,pass
Table 2 / dataset audit,"('DBLP-Scholar', 'nA')",2616,2616,True
Table 2 / dataset audit,"('DBLP-Scholar', 'nB')",64263,64263,True
Table 2 / dataset audit,"('DBLP-Scholar', 'gold_pairs')",5347,5347,True
Table 2 / dataset audit,"('DBLP-Scholar', 'matchable_A')",2408,2408,True
Table 2 / dataset audit,"('DBLP-Scholar', 'matched_B')",5218,5218,True
Table 2 / dataset audit,"('DBLP-Scholar', 'multi_partner_A')",1238,1238,True
Table 2 / dataset audit,"('DBLP-Scholar', 'max_partners_A')",20,20,True
Table 2 / dataset audit,"('Abt-Buy', 'nA')",1081,1081,True
Table 2 / dataset audit,"('Abt-Buy', 'nB')",1092,1092,True
Table 2 / dataset audit,"('Abt-Buy', 'gold_pairs')",1097,1097,True
Table 2 / dataset audit,"('Abt-Buy', 'matchable_A')",1081,1081,True
Table 2 / dataset audit,"('Abt-Buy', 'matched_B')",1092,1092,True
Table 2 / dataset audit,"('Abt-Buy', 'multi_partner_A')",16,16,True
Table 2 / dataset audit,"('Abt-Buy', 'max_partners_A')",2,2,True
Table 4,"('DBLP-Scholar', 1)",0.015,generated by analysis15_rank_statistic.py,True
Table 4,"('DBLP-Scholar', 5)",0.003,generated by analysis15_rank_statistic.py,True
Table 4,"('DBLP-Scholar', 50)",0.001,generated by analysis15_rank_statistic.py,True
Table 4,"('DBLP-Scholar', 'floor_zero_k')",4514,generated by analysis15_rank_statistic.py,True
Table 4,"('Abt-Buy', 1)",0.270,generated by analysis15_rank_statistic.py,True
Table 4,"('Abt-Buy', 5)",0.082,generated by analysis15_rank_statistic.py,True
Table 4,"('Abt-Buy', 50)",0.003,generated by analysis15_rank_statistic.py,True
Table 4,"('Abt-Buy', 'floor_zero_k')",748,generated by analysis15_rank_statistic.py,True
Table 5,"('Abt-Buy', 'Bi-encoder, cosine', 'Discriminative, logistic', 5)",0.248/0.479,0.248/0.479,True
Table 5,"('Abt-Buy', 'Bi-encoder, cosine', 'Discriminative, logistic', 50)",0.233/0.543,0.233/0.543,True
Table 5,"('Abt-Buy', 'Bi-encoder, cosine', 'Generative, kernel density', 5)",0.278/0.425,0.278/0.425,True
Table 5,"('Abt-Buy', 'Bi-encoder, cosine', 'Generative, kernel density', 50)",0.327/0.356,0.327/0.356,True
Table 5,"('Abt-Buy', 'String, Jaro-Winkler', 'Discriminative, logistic', 5)",0.343/0.597,0.343/0.597,True
Table 5,"('Abt-Buy', 'String, Jaro-Winkler', 'Discriminative, logistic', 50)",0.338/0.662,0.338/0.662,True
Table 5,"('Abt-Buy', 'String, Jaro-Winkler', 'Generative, kernel density', 5)",0.389/0.500,0.389/0.500,True
Table 5,"('Abt-Buy', 'String, Jaro-Winkler', 'Generative, kernel density', 50)",0.449/0.525,0.449/0.525,True
Table 5,"('DBLP-Scholar', 'Bi-encoder, cosine', 'Discriminative, logistic', 5)",0.016/0.056,0.016/0.056,True
Table 5,"('DBLP-Scholar', 'Bi-encoder, cosine', 'Discriminative, logistic', 50)",0.009/0.068,0.009/0.068,True
Table 5,"('DBLP-Scholar', 'Bi-encoder, cosine', 'Generative, kernel density', 5)",0.023/0.018,0.023/0.018,True
Table 5,"('DBLP-Scholar', 'Bi-encoder, cosine', 'Generative, kernel density', 50)",0.043/0.014,0.043/0.014,True
Table 5,"('DBLP-Scholar', 'String, Jaro-Winkler', 'Discriminative, logistic', 5)",0.030/0.036,0.030/0.036,True
Table 5,"('DBLP-Scholar', 'String, Jaro-Winkler', 'Discriminative, logistic', 50)",0.027/0.050,0.027/0.050,True
Table 5,"('DBLP-Scholar', 'String, Jaro-Winkler', 'Generative, kernel density', 5)",0.034/0.018,0.034/0.018,True
Table 5,"('DBLP-Scholar', 'String, Jaro-Winkler', 'Generative, kernel density', 50)",0.046/0.013,0.046/0.013,True
Table 6,"('Logistic', 'DBLP-Scholar', 5)",0.016/0.056,0.016/0.056,True
Table 6,"('Logistic', 'DBLP-Scholar', 50)",0.009/0.068,0.009/0.068,True
Table 6,"('Logistic', 'Abt-Buy', 5)",0.248/0.479,0.248/0.479,True
Table 6,"('Logistic', 'Abt-Buy', 50)",0.233/0.543,0.233/0.543,True
Table 6,"('SVM', 'DBLP-Scholar', 5)",0.017/0.040,0.017/0.040,True
Table 6,"('SVM', 'DBLP-Scholar', 50)",0.018/0.041,0.018/0.041,True
Table 6,"('SVM', 'Abt-Buy', 5)",0.252/0.592,0.252/0.592,True
Table 6,"('SVM', 'Abt-Buy', 50)",0.211/0.701,0.211/0.701,True
Table 6,"('XGB', 'DBLP-Scholar', 5)",0.033/0.021,0.033/0.021,True
Table 6,"('XGB', 'DBLP-Scholar', 50)",0.024/0.041,0.024/0.041,True
Table 6,"('XGB', 'Abt-Buy', 5)",0.399/0.538,0.399/0.538,True
Table 6,"('XGB', 'Abt-Buy', 50)",0.296/0.551,0.296/0.551,True
Table 6,"('MLP', 'DBLP-Scholar', 5)",0.030/0.030,0.030/0.030,True
Table 6,"('MLP', 'DBLP-Scholar', 50)",0.026/0.034,0.026/0.034,True
Table 6,"('MLP', 'Abt-Buy', 5)",0.251/0.438,0.251/0.438,True
Table 6,"('MLP', 'Abt-Buy', 50)",0.228/0.565,0.228/0.565,True
