abstained_unmatched,classifier,column,correct,dataset,declared,false_links,fit_and_eval_seconds,lambda,missing_matches,n_fit_pairs,n_train_negative_pairs,n_train_pairs,n_train_positive_pairs,n_true_records,n_unmatched_records,n_validation_pairs,negative_to_positive_ratio,protocol_source,psi,seed,seed_role,side,sklearn_version,threshold,threshold_grid_extreme,threshold_grid_high,threshold_grid_low,validation_f1,warnings,xgboost_version
81,LR,forced-1:1,1098,DBLP,1131,33,0.16753435134887695,0.029177718832891247,96,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07933884297520662,42,primary,string,1.9.1,0.5000000000000001,False,False,False,0.9,[],3.3.0
91,LR,forced-1:1,1082,DBLP,1116,34,0.16531968116760254,0.03046594982078853,101,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.08444816053511706,43,primary,string,1.9.1,0.5000000000000001,False,False,False,0.9205702647657841,[],3.3.0
75,LR,forced-1:1,1110,DBLP,1152,42,0.16202569007873535,0.036458333333333336,81,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.06666666666666667,44,primary,string,1.9.1,0.45000000000000007,False,False,False,0.8981288981288982,[],3.3.0
84,SVM,forced-1:1,1073,DBLP,1101,28,0.29514265060424805,0.025431425976385105,123,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.10165289256198347,42,primary,string,1.9.1,0.7000000000000002,False,False,False,0.9133192389006343,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
91,SVM,forced-1:1,1096,DBLP,1134,38,0.3077118396759033,0.03350970017636684,83,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.06939799331103678,43,primary,string,1.9.1,0.6000000000000002,False,False,False,0.9300411522633745,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
81,SVM,forced-1:1,1108,DBLP,1136,28,0.30349278450012207,0.02464788732394366,91,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07489711934156379,44,primary,string,1.9.1,0.5500000000000002,False,False,False,0.9171974522292994,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
82,XGB,forced-1:1,1139,DBLP,1169,30,0.6082961559295654,0.02566295979469632,57,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.047107438016528926,42,primary,string,1.9.1,0.40000000000000013,False,False,False,0.9135802469135802,[],3.3.0
96,XGB,forced-1:1,1075,DBLP,1104,29,0.6259114742279053,0.026268115942028984,108,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.0903010033444816,43,primary,string,1.9.1,0.7000000000000002,False,False,False,0.9386892177589852,[],3.3.0
81,XGB,forced-1:1,1119,DBLP,1143,24,0.629763126373291,0.02099737532808399,84,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.0691358024691358,44,primary,string,1.9.1,0.5500000000000002,False,False,False,0.9302325581395349,[],3.3.0
76,MLP,forced-1:1,1075,DBLP,1109,34,1.0852596759796143,0.030658250676284943,123,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.10165289256198347,42,primary,string,1.9.1,0.6000000000000002,False,False,False,0.9152542372881356,[],3.3.0
74,MLP,forced-1:1,1125,DBLP,1182,57,0.6051747798919678,0.048223350253807105,52,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.043478260869565216,43,primary,string,1.9.1,0.45000000000000007,False,False,False,0.9304174950298211,[],3.3.0
77,MLP,forced-1:1,1102,DBLP,1135,33,0.6148526668548584,0.02907488986784141,96,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07901234567901234,44,primary,string,1.9.1,0.5000000000000001,False,False,False,0.9156118143459916,[],3.3.0
74,LR,forced-1:1,1097,DBLP,1163,66,0.16178226470947266,0.05674978503869303,71,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.05867768595041322,42,primary,bi-encoder,1.9.1,0.3500000000000001,False,False,False,0.8823529411764706,[],3.3.0
77,LR,forced-1:1,1099,DBLP,1179,80,0.16116786003112793,0.06785411365564037,52,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.043478260869565216,43,primary,bi-encoder,1.9.1,0.30000000000000004,False,False,False,0.8709055876685935,[],3.3.0
84,LR,forced-1:1,1061,DBLP,1109,48,0.15981125831604004,0.04328223624887286,115,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.09465020576131687,44,primary,bi-encoder,1.9.1,0.5000000000000001,False,False,False,0.8805031446540881,[],3.3.0
92,SVM,forced-1:1,1101,DBLP,1132,31,0.3156416416168213,0.027385159010600707,84,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.06942148760330578,42,primary,bi-encoder,1.9.1,0.5000000000000001,False,False,False,0.9168356997971603,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
107,SVM,forced-1:1,1083,DBLP,1108,25,0.3206210136413574,0.02256317689530686,93,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.07775919732441472,43,primary,bi-encoder,1.9.1,0.6000000000000002,False,False,False,0.8921161825726142,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
91,SVM,forced-1:1,1086,DBLP,1114,28,0.32813048362731934,0.025134649910233394,103,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.08477366255144032,44,primary,bi-encoder,1.9.1,0.6000000000000002,False,False,False,0.9175475687103594,"['FutureWarning: The `probability` parameter was deprecated in 1.9 and will be removed in version 1.11. Use `CalibratedClassifierCV(SVC(), ensemble=False)` instead of `SVC(probability=True)`']",3.3.0
86,XGB,forced-1:1,1082,DBLP,1110,28,0.7051377296447754,0.025225225225225224,112,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.09256198347107437,42,primary,bi-encoder,1.9.1,0.6000000000000002,False,False,False,0.9208333333333333,[],3.3.0
102,XGB,forced-1:1,1104,DBLP,1143,39,0.6692571640014648,0.03412073490813648,63,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.052675585284280936,43,primary,bi-encoder,1.9.1,0.45000000000000007,False,False,False,0.9124236252545825,[],3.3.0
83,XGB,forced-1:1,1094,DBLP,1120,26,0.657017707824707,0.023214285714285715,105,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.08641975308641975,44,primary,bi-encoder,1.9.1,0.5500000000000002,False,False,False,0.9267241379310345,[],3.3.0
71,MLP,forced-1:1,1127,DBLP,1174,47,1.3427839279174805,0.04003407155025554,63,1916,1198,2396,1198,1210,98,480,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.05206611570247934,42,primary,bi-encoder,1.9.1,0.45000000000000007,False,False,False,0.912,"[""ConvergenceWarning: Stochastic Optimizer: Maximum iterations (300) reached and the optimization hasn't converged yet.""]",3.3.0
88,MLP,forced-1:1,1126,DBLP,1169,43,1.171508550643921,0.036783575705731396,51,1939,1212,2424,1212,1196,112,485,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.042642140468227424,43,primary,bi-encoder,1.9.1,0.40000000000000013,False,False,False,0.891566265060241,[],3.3.0
68,MLP,forced-1:1,1138,DBLP,1188,50,1.2634780406951904,0.04208754208754209,52,1908,1193,2386,1193,1215,93,478,1.0,/home/ahmeda/ER_Transformer_Reproducible_RUN/scripts/analysis16_clean_2x2.py,0.04279835390946502,44,primary,bi-encoder,1.9.1,0.45000000000000007,False,False,False,0.9116465863453815,[],3.3.0
