correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
1191,DBLP,1208,36.36174154281616,17,0.5,0.014072847682119206,15,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_42,46772,1308,1308,58465,1210,11693,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed42.csv,0.012396694214876033,sigmoid(CrossEncoder.predict),42,0.5500000000000002,301.02610969543457,85,0.9402061855670103
1181,DBLP,1210,35.456238985061646,29,0.5,0.023966942148760332,8,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_43,47306,1308,1308,59133,1196,11827,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed43.csv,0.006688963210702341,sigmoid(CrossEncoder.predict),43,0.6000000000000002,312.90623116493225,90,0.9193548387096774
1197,DBLP,1216,37.73243856430054,19,0.5,0.015625,12,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_44,46588,1308,1308,58235,1215,11647,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed44.csv,0.009876543209876543,sigmoid(CrossEncoder.predict),44,0.5500000000000002,323.84652972221375,80,0.9274193548387096
1200,DBLP,1217,36.34945559501648,17,0.5,0.013968775677896467,6,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_45,46744,1308,1308,58431,1211,11687,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed45.csv,0.00495458298926507,sigmoid(CrossEncoder.predict),45,0.5500000000000002,325.82640385627747,85,0.9240246406570842
1182,DBLP,1213,36.37133288383484,31,0.5,0.025556471558120363,2,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_46,47500,1308,1308,59376,1191,11876,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed46.csv,0.0016792611251049538,sigmoid(CrossEncoder.predict),46,0.20000000000000004,315.1751847267151,93,0.9270216962524654
1198,DBLP,1225,36.863813400268555,27,0.5,0.022040816326530613,10,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_47,46392,1308,1308,57990,1219,11598,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed47.csv,0.008203445447087777,sigmoid(CrossEncoder.predict),47,0.20000000000000004,316.21602988243103,73,0.9402061855670103
1186,DBLP,1206,37.4196662902832,20,0.5,0.01658374792703151,16,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_48,46812,1308,1308,58516,1208,11704,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed48.csv,0.013245033112582781,sigmoid(CrossEncoder.predict),48,0.9000000000000002,308.6106722354889,86,0.9146341463414634
1203,DBLP,1224,36.58966779708862,21,0.5,0.01715686274509804,5,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_49,46536,1308,1308,58170,1217,11634,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed49.csv,0.004108463434675432,sigmoid(CrossEncoder.predict),49,0.20000000000000004,308.95042967796326,79,0.9146341463414634
1188,DBLP,1213,37.1679425239563,25,0.5,0.020610057708161583,7,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_50,46890,1308,1308,58613,1207,11723,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed50.csv,0.00579950289975145,sigmoid(CrossEncoder.predict),50,0.1,307.8304979801178,88,0.9551020408163265
1173,DBLP,1189,37.314653158187866,16,0.5,0.01345668629100084,17,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p50/seed_51,47313,1308,1308,59142,1196,11829,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p50_seed51.csv,0.014214046822742474,sigmoid(CrossEncoder.predict),51,0.6000000000000002,321.81339931488037,102,0.9416666666666667
962,DBLP,988,29.11888360977173,26,0.6,0.02631578947368421,5,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_42,56019,1047,1569,70024,973,14005,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed42.csv,0.0051387461459403904,sigmoid(CrossEncoder.predict),42,0.15000000000000002,374.3011326789856,54,0.928082191780822
947,DBLP,967,29.935499906539917,20,0.6,0.020682523267838676,6,False,/home/ahmeda/ER_Transformer_Reproducible_RUN/models/analysis18_section7/cross_encoder/DBLP/f_0p60/seed_43,56489,1047,1569,70612,961,14123,/home/ahmeda/ER_Transformer_Reproducible_RUN/results/analysis18_section7/predictions/fraction_DBLP_f0p60_seed43.csv,0.006243496357960458,sigmoid(CrossEncoder.predict),43,0.20000000000000004,374.90174078941345,74,0.937394247038917
