record_index,ida,has_true_match,n_valid_matches,ft_lr_top1_idb,ft_lr_top1_score,ft_lr_top2_score,ft_lr_gap,ft_lr_threshold,ft_lr_declared,ft_lr_category,dataset,seed,ce_direct_declared,ce_direct_category
0,journals/vldb/Han98,True,1,url:http://www.springerlink.com/index/YTPAB711B92NCE7J.pdf,0.9682257219327276,0.004467670579616838,0.9637580513531108,0.5500000000000002,True,correct,DBLP,42,True,correct
1,conf/sigmod/DoRD99,True,2,Rviij1nqEcoJ,0.9637858539864094,0.9612654804923495,0.0025203734940598688,0.5500000000000002,True,correct,DBLP,42,True,correct
2,conf/vldb/ChanGR02,True,2,7rn7AHVs1YUJ,0.9566974753773437,0.847538283849856,0.10915919152748776,0.5500000000000002,True,correct,DBLP,42,True,correct
3,conf/sigmod/BouguettayaBH99,True,3,siO8kr7vvLEJ,0.9429925058976886,0.8033739306852652,0.13961857521242338,0.5500000000000002,True,correct,DBLP,42,True,correct
4,conf/vldb/CochranePM96,True,1,NRLEnDsPlOkJ,0.974102521234846,0.0943345459977261,0.8797679752371199,0.5500000000000002,True,correct,DBLP,42,True,correct
5,conf/vldb/Wang95,True,2,7FUOWtSbiogJ,0.9835526106021453,0.7188407017781432,0.2647119088240021,0.5500000000000002,True,correct,DBLP,42,True,correct
6,conf/vldb/LuL00,True,2,Ih5hY-NRmFgJ,0.98964467231607,0.8575934037000158,0.1320512686160542,0.5500000000000002,True,correct,DBLP,42,True,correct
7,journals/sigmod/DogacDKOONEHAKKM95,True,6,UAO4T_2ylPkJ,0.9826800344616154,0.7898136765079311,0.19286635795368434,0.5500000000000002,True,correct,DBLP,42,True,correct
8,conf/sigmod/ShenNSHS03,True,1,LjrsWIr3rhAJ,0.9863422806054168,0.002272017052375826,0.9840702635530411,0.5500000000000002,True,correct,DBLP,42,True,correct
9,journals/sigmod/CalvaneseGLV03,True,1,pGcIRyDyFG8J,0.9436242265088711,0.1064079776266715,0.8372162488821996,0.5500000000000002,True,correct,DBLP,42,True,correct
